wavelength,D65,X_1964,Y_1964,Z_1964,X_1931,Y_1931,Z_1931,CIE_A,S0,S1,S2
300,0.0341,0,0,0,0,0,0,0.930483,0.04,0.02,0
305,1.6643,0,0,0,0,0,0,1.128210,3.02,2.26,1
310,3.2945,0,0,0,0,0,0,1.357690,6,4.5,2
315,11.7652,0,0,0,0,0,0,1.622190,17.8,13.45,3
320,20.236,0,0,0,0,0,0,1.925080,29.6,22.4,4
325,28.6447,0,0,0,0,0,0,2.269800,42.45,32.2,6.25
330,37.0535,0,0,0,0,0,0,2.659810,55.3,42,8.5
335,38.5011,0,0,0,0,0,0,3.098610,56.3,41.3,8.15
340,39.9488,0,0,0,0,0,0,3.589680,57.3,40.6,7.8
345,42.4302,0,0,0,0,0,0,4.136480,59.55,41.1,7.25
350,44.9117,0,0,0,0,0,0,4.742380,61.8,41.6,6.7
355,45.775,0,0,0,0,0,0,5.410700,61.65,39.8,6
360,46.6383,0,0,0,0,0,0,6.144620,61.5,38,5.3
365,49.3637,0,0,0,0,0,0,6.947200,65.15,40.2,5.7
370,52.0891,0,0,0,0,0,0,7.821350,68.8,42.4,6.1
375,51.0323,0,0,0,0,0,0,8.769800,66.1,40.45,4.55
380,49.9755,0.00016,0.000017,0.000705,0.001368,0.000039,0.00645,9.795100,63.4,38.5,3
385,52.3118,0.000662,0.000072,0.002928,0.002236,0.000064,0.01055,10.899600,64.6,36.75,2.1
390,54.6482,0.002362,0.000253,0.010482,0.004243,0.00012,0.02005,12.085300,65.8,35,1.2
395,68.7015,0.007242,0.000769,0.032344,0.00765,0.000217,0.03621,13.354300,80.3,39.2,0.05
400,82.7549,0.01911,0.002004,0.086011,0.01431,0.000396,0.06785,14.708000,94.8,43.4,-1.1
405,87.1204,0.0434,0.004509,0.19712,0.02319,0.00064,0.1102,16.148000,99.8,44.85,-0.8
410,91.486,0.084736,0.008756,0.389366,0.04351,0.00121,0.2074,17.675300,104.8,46.3,-0.5
415,92.4589,0.140638,0.014456,0.65676,0.07763,0.00218,0.3713,19.290700,105.35,45.1,-0.6
420,93.4318,0.204492,0.021391,0.972542,0.13438,0.004,0.6456,20.995000,105.9,43.9,-0.7
425,90.057,0.264737,0.029497,1.2825,0.21477,0.0073,1.03905,22.788300,101.35,40.5,-0.95
430,86.6823,0.314679,0.038676,1.55348,0.2839,0.0116,1.3856,24.670900,96.8,37.1,-1.2
